p,d,t
2,156,5.2476e-05
2,156,6.6181e-05
2,156,5.3037e-05
2,158,5.7088e-05
2,158,8.0261e-05
2,158,5.6402e-05
2,158,5.8855e-05
2,158,5.5364e-05
2,160,6.0164e-05
2,160,5.6976e-05
2,160,5.6286e-05
2,160,8.3336e-05
2,160,5.7217e-05
2,162,6.3526e-05
2,162,5.685e-05
2,162,8.417e-05
2,162,5.6469e-05
2,162,5.6866e-05
2,164,6.2066e-05
2,164,5.8055e-05
2,164,6.0266e-05
2,164,6.0458e-05
2,164,5.8586e-05
2,166,6.2548e-05
2,166,5.8753e-05
2,166,6.0112e-05
2,166,5.9521e-05
2,166,5.8713e-05
2,168,6.4254e-05
2,168,6.0987e-05
2,168,6.2823e-05
2,168,6.2574e-05
2,168,6.2297e-05
2,170,6.7656e-05
2,170,0.000105398
2,170,0.00013597
2,170,6.7467e-05
2,170,6.6637e-05
2,172,6.9719e-05
2,172,6.5988e-05
2,172,6.493e-05
2,172,6.4724e-05
2,172,6.4068e-05
2,174,7.0577e-05
2,174,6.4624e-05
2,174,9.4875e-05
2,174,6.3747e-05
2,174,6.4631e-05
2,176,7.0406e-05
2,176,6.5883e-05
2,176,9.6422e-05
2,176,6.4859e-05
2,176,7.8132e-05
2,178,7.3879e-05
2,178,7.2375e-05
2,178,0.000103406
2,178,0.000103196
2,178,0.000109473
2,180,7.8121e-05
2,180,0.000107736
2,180,0.000105459
2,180,0.000104972
2,180,0.00015547
2,182,7.6143e-05
2,182,0.000108586
2,182,0.000108271
2,182,0.000105495
2,182,0.000106076
2,184,0.0001134
2,184,0.000108294
2,184,7.0509e-05
2,184,7.0637e-05
2,184,6.9841e-05
2,186,7.4489e-05
2,186,9.8647e-05
2,186,7.1859e-05
2,186,7.1264e-05
2,186,7.1828e-05
2,188,7.8734e-05
2,188,7.6929e-05
2,188,7.6777e-05
2,188,7.5654e-05
2,188,7.4953e-05
2,190,8.0522e-05
2,190,7.4492e-05
2,190,7.5081e-05
2,190,7.3724e-05
2,190,7.3998e-05
2,192,8.2948e-05
2,192,7.7346e-05
2,192,7.7433e-05
2,192,7.8323e-05
2,192,7.6347e-05
2,194,8.0119e-05
2,194,7.7175e-05
2,194,7.9602e-05
2,194,7.6802e-05
2,194,7.6359e-05
2,196,8.2385e-05
2,196,9.024e-05
2,196,8.4443e-05
2,196,0.000131241
2,196,0.000121055
2,198,0.000157009
2,198,0.000148221
2,198,0.000129974
2,198,0.000147377
2,198,0.000167413
2,200,0.000143358
2,200,8.9804e-05
2,200,8.5418e-05
2,200,8.5568e-05
2,200,0.000103321
2,202,9.0979e-05
2,202,8.6655e-05
2,202,8.455e-05
2,202,8.4192e-05
2,202,8.6393e-05
2,204,9.4205e-05
2,204,8.6256e-05
2,204,8.5964e-05
2,204,8.7872e-05
2,204,9.9519e-05
2,206,9.559e-05
2,206,8.82e-05
2,206,0.000115047
2,206,8.88e-05
2,206,8.7946e-05
2,208,9.7387e-05
2,208,8.9384e-05
2,208,9.1399e-05
2,208,9.1577e-05
2,208,9.1196e-05
2,210,0.000100566
2,210,9.6572e-05
2,210,9.3427e-05
2,210,9.3135e-05
2,210,9.3047e-05
2,212,0.000102251
2,212,0.000117279
2,212,0.000157205
2,212,0.000162063
2,212,0.000109229
2,214,0.000161346
2,214,9.2967e-05
2,214,9.3543e-05
2,214,0.000101566
2,214,9.2025e-05
2,216,0.000159134
2,216,0.000100727
2,216,9.8678e-05
2,216,0.000101957
2,216,9.3968e-05
2,218,0.000102339
2,218,9.7557e-05
2,218,9.4947e-05
2,218,0.00012836
2,218,0.000103498
2,220,0.000103087
2,220,0.000101868
2,220,0.000101219
2,220,0.000101729
2,220,0.000102395
2,222,0.000101876
2,222,0.000100229
2,222,9.9801e-05
2,222,0.000101028
2,222,0.000108027
2,224,0.000101675
2,224,0.000101902
2,224,9.9656e-05
2,224,0.000103528
2,224,9.9931e-05
2,226,0.000102164
2,226,0.000101204
2,226,0.000106438
2,226,0.000103011
2,226,0.000101982
2,228,0.000124707
2,228,0.000103593
2,228,0.000105886
2,228,0.000103282
2,228,0.000107116
2,230,0.000106823
2,230,0.000106695
2,230,0.000142774
2,230,0.000109317
2,230,0.000107602
2,232,0.000110523
2,232,0.000109357
2,232,0.000108359
2,232,0.000109426
2,232,0.000110431
2,234,0.000112182
2,234,0.000111106
2,234,0.000110776
2,234,0.000109991
2,234,0.000110133
2,236,0.000113374
2,236,0.000111251
2,236,0.000112633
2,236,0.00014419
2,236,0.000111973
2,238,0.000123202
2,238,0.000123002
2,238,0.000125953
2,238,0.000118645
2,238,0.000114862
2,240,0.000126018
2,240,0.000113645
2,240,0.000115281
2,240,0.000113406
2,240,0.000115035
2,242,0.000116153
2,242,0.000116643
2,242,0.000116481
2,242,0.000116602
2,242,0.000119227
2,244,0.000122556
2,244,0.000122504
2,244,0.00011969
2,244,0.000171049
2,244,0.000135428
2,246,0.000122465
2,246,0.000122947
2,246,0.000121748
2,246,0.000119207
2,246,0.000119529
2,248,0.000131575
2,248,0.000125809
2,248,0.000125992
2,248,0.000184286
2,248,0.000122464
2,250,0.000125274
2,250,0.000123669
2,250,0.000121493
2,250,0.000165416
2,250,0.000123165
2,252,0.000134223
2,252,0.000126468
2,252,0.000125672
2,252,0.000128266
2,252,0.000125052
2,254,0.000128382
2,254,0.000254502
2,254,0.000138208
2,254,0.000145332
2,254,0.000134983
2,256,0.000132657
2,256,0.000133883
2,256,0.000129571
2,256,0.000129926
2,256,0.000157013
2,258,0.000131329
2,258,0.000130342
2,258,0.00013545
2,258,0.000131813
2,258,0.000131764
2,260,0.000190041
2,260,0.000133237
2,260,0.000135342
2,260,0.000143386
2,260,0.000133791
2,262,0.000133835
2,262,0.000154607
2,262,0.000139272
2,262,0.000144786
2,262,0.000135657
2,264,0.00013682
2,264,0.000139539
2,264,0.00013551
2,264,0.000173794
2,264,0.000140672
2,266,0.000143027
2,266,0.000160123
2,266,0.000142301
2,266,0.000142056
2,266,0.000144388
2,268,0.00014675
2,268,0.000141511
2,268,0.000140105
2,268,0.000165254
2,268,0.000164744
2,270,0.000235499
2,270,0.000219888
2,270,0.000267065
2,270,0.00021776
2,270,0.000144261
2,272,0.000145106
2,272,0.000145098
2,272,0.00014939
2,272,0.000150763
2,272,0.000147041
2,274,0.000147382
2,274,0.000147302
2,274,0.000148354
2,274,0.000148447
2,274,0.000150461
2,276,0.000163974
2,276,0.000148513
2,276,0.000149152
2,276,0.000148736
2,276,0.000163733
2,278,0.000153032
2,278,0.000150641
2,278,0.000165908
2,278,0.000163303
2,278,0.000155266
2,280,0.000164902
2,280,0.000152423
2,280,0.000219186
2,280,0.00025568
2,280,0.000168509
2,282,0.000155261
2,282,0.000246025
2,282,0.000160924
2,282,0.000162834
2,282,0.000159872
2,284,0.000228577
2,284,0.000169562
2,284,0.000166608
2,284,0.000166269
2,284,0.000166495
2,286,0.000165367
2,286,0.00019618
2,286,0.000158418
2,286,0.000157315
2,286,0.000160389
2,288,0.000162326
2,288,0.000163922
2,288,0.000161292
2,288,0.000161682
2,288,0.000163265
2,290,0.00016368
2,290,0.000167374
2,290,0.000167729
2,290,0.000184432
2,290,0.000164475
2,292,0.000237115
2,292,0.000170689
2,292,0.000218864
2,292,0.000177157
2,292,0.000166824
2,294,0.000167636
2,294,0.000167676
2,294,0.000202392
2,294,0.000170698
2,294,0.000169248
2,296,0.00017603
2,296,0.000174755
2,296,0.000176077
2,296,0.000173951
2,296,0.000180172
2,298,0.000171852
2,298,0.000200583
2,298,0.000179327
2,298,0.000179483
2,298,0.00017891
2,300,0.000180594
2,300,0.000182095
2,300,0.000181853
2,300,0.000183129
2,300,0.000184078
2,302,0.000185991
2,302,0.000177132
2,302,0.000187552
2,302,0.000186363
2,302,0.000180794
2,304,0.000189284
2,304,0.000195236
2,304,0.000198122
2,304,0.000180659
2,304,0.000177172
2,306,0.000282618
2,306,0.000184031
2,306,0.00018682
2,306,0.000183948
2,306,0.000180607
2,308,0.00019
2,308,0.000184151
2,308,0.000189341
2,308,0.000190318
2,308,0.000193249
2,310,0.00020159
2,310,0.000228581
2,310,0.000188326
2,310,0.00018489
2,310,0.000184448
2,312,0.000242656
2,312,0.000201095
2,312,0.000239679
2,312,0.000193609
2,312,0.000193082
2,314,0.000195706
2,314,0.000212729
2,314,0.000194416
2,314,0.000189633
2,314,0.000215678
2,316,0.000202276
2,316,0.000206405
2,316,0.000202381
2,316,0.000202838
2,316,0.000197531
2,318,0.000281301
2,318,0.000201438
2,318,0.000204208
2,318,0.000225317
2,318,0.000197678
2,320,0.000233989
2,320,0.000198652
2,320,0.000196621
2,320,0.000195165
2,320,0.000203315
2,322,0.000222239
2,322,0.000212508
2,322,0.00020877
2,322,0.000207757
2,322,0.000201521
2,324,0.000219849
2,324,0.000288521
2,324,0.00032125
2,324,0.000207636
2,324,0.000201732
2,326,0.000210035
2,326,0.000207507
2,326,0.000204744
2,326,0.000206065
2,326,0.000203664
2,328,0.000221766
2,328,0.000222473
2,328,0.000213211
2,328,0.000211263
2,328,0.000215836
2,330,0.000215302
2,330,0.000212207
2,330,0.000223844
2,330,0.000228193
2,330,0.000219968
2,332,0.00022786
2,332,0.000210541
2,332,0.000210933
2,332,0.000294023
2,332,0.000212137
2,334,0.000229189
2,334,0.00021259
2,334,0.000212153
2,334,0.000270329
2,334,0.000214396
2,336,0.000250288
2,336,0.000222488
2,336,0.000226262
2,336,0.000218289
2,336,0.000236381
2,338,0.000237502
2,338,0.000279135
2,338,0.000225771
2,338,0.000225117
2,338,0.00021782
2,340,0.000392058
2,340,0.000236302
2,340,0.000238399
2,340,0.000289303
2,340,0.000220955
2,342,0.000242678
2,342,0.000225582
2,342,0.000225541
2,342,0.000279853
2,342,0.000356727
2,344,0.000370699
2,344,0.000231741
2,344,0.00024822
2,344,0.000286471
2,344,0.000292342
2,346,0.000243465
2,346,0.00022805
2,346,0.000227348
2,346,0.000230884
2,346,0.000233062
2,348,0.000249083
2,348,0.000237569
2,348,0.000241474
2,348,0.000237435
2,348,0.000232275
2,350,0.000245516
2,350,0.000242803
2,350,0.000239685
2,350,0.000238459
2,350,0.000231734
2,352,0.000253491
2,352,0.000242092
2,352,0.000235261
2,352,0.000317537
2,352,0.000243427
2,354,0.00024441
2,354,0.000236655
2,354,0.000267888
2,354,0.000255057
2,354,0.000244719
2,356,0.000256701
2,356,0.000258
2,356,0.000249352
2,356,0.000245524
2,356,0.000243908
2,358,0.000258526
2,358,0.000245568
2,358,0.000242659
2,358,0.00024416
2,358,0.000242576
2,360,0.000255558
2,360,0.000246351
2,360,0.000249181
2,360,0.000251848
2,360,0.000248416
2,362,0.000257215
2,362,0.000248523
2,362,0.000249358
2,362,0.000249913
2,362,0.000276374
2,364,0.000400176
2,364,0.000264972
2,364,0.000255074
2,364,0.000277016
2,364,0.000256463
2,366,0.000295523
2,366,0.000264207
2,366,0.000252225
2,366,0.00025396
2,366,0.000262078
2,368,0.000401159
2,368,0.000256646
2,368,0.000257664
2,368,0.000264412
2,368,0.000283497
2,370,0.00028061
2,370,0.000259032
2,370,0.00028686
2,370,0.000267547
2,370,0.000278138
2,372,0.000290932
2,372,0.000261545
2,372,0.00026168
2,372,0.000262033
2,372,0.000335056
2,374,0.000311465
2,374,0.000377554
2,374,0.000432762
2,374,0.000304803
2,374,0.000274312
2,376,0.000277072
2,376,0.00026924
2,376,0.000309067
2,376,0.000291165
2,376,0.000277432
2,378,0.000286675
2,378,0.000279597
2,378,0.000290131
2,378,0.000279223
2,378,0.000278186
2,380,0.000291195
2,380,0.000287861
2,380,0.000272857
2,380,0.000272351
2,380,0.000273968
2,382,0.000294696
2,382,0.000303249
2,382,0.000275994
2,382,0.000275061
2,382,0.000281571
2,384,0.00028585
2,384,0.000284054
2,384,0.000288141
2,384,0.000281172
2,384,0.000303916
2,386,0.000317335
2,386,0.000280724
2,386,0.00028256
2,386,0.000289187
2,386,0.000282561
2,388,0.000307058
2,388,0.00028601
2,388,0.000309419
2,388,0.000293851
2,388,0.000294036
2,390,0.000302123
2,390,0.000286852
2,390,0.000297252
2,390,0.000295903
2,390,0.00028837
2,392,0.000310001
2,392,0.00030994
2,392,0.000314072
2,392,0.00029134
2,392,0.000336899
2,394,0.000304549
2,394,0.000293733
2,394,0.000294182
2,394,0.000291857
2,394,0.000295424
2,396,0.000300639
2,396,0.00029799
2,396,0.000316796
2,396,0.000295293
2,396,0.000294747
2,398,0.000308546
2,398,0.000297245
2,398,0.00032697
2,398,0.000340555
2,398,0.000298264
2,400,0.000309519
2,400,0.000350388
2,400,0.000486716
2,400,0.000550491
2,400,0.000494539
2,402,0.000334348
2,402,0.000322096
2,402,0.00031344
2,402,0.000328427
2,402,0.000339274
2,404,0.00037794
2,404,0.000315396
2,404,0.000404518
2,404,0.000329962
2,404,0.000431544
2,406,0.000340705
2,406,0.000311186
2,406,0.000309581
2,406,0.0003187
2,406,0.000311774
2,408,0.000333658
2,408,0.000314111
2,408,0.000320206
2,408,0.000312946
2,408,0.000381797
2,410,0.000345718
2,410,0.000343401
2,410,0.000318612
2,410,0.000353949
2,410,0.000317516
2,412,0.000496042
2,412,0.000339424
2,412,0.000344895
2,412,0.000333851
2,412,0.000333673
2,414,0.000329475
2,414,0.000329402
2,414,0.000334791
2,414,0.00033446
2,414,0.0003877
2,416,0.000355996
2,416,0.000325313
2,416,0.00042312
2,416,0.000349645
2,416,0.000324049
2,418,0.000370184
2,418,0.000366694
2,418,0.000366281
2,418,0.00033491
2,418,0.000370619
2,420,0.000340904
2,420,0.000330702
2,420,0.00033192
2,420,0.000330678
2,420,0.00034068
2,422,0.000342726
2,422,0.000335326
2,422,0.000356128
2,422,0.000345875
2,422,0.000340559
2,424,0.000362566
2,424,0.000345191
2,424,0.000339512
2,424,0.000374279
2,424,0.000355757
2,426,0.00034571
2,426,0.000339144
2,426,0.000340053
2,426,0.000407759
2,426,0.000348688
2,428,0.000356246
2,428,0.000366898
2,428,0.000413624
2,428,0.00035607
2,428,0.000344485
2,430,0.000362688
2,430,0.000361542
2,430,0.000371872
2,430,0.000348882
2,430,0.00037416
2,432,0.000361615
2,432,0.000501858
2,432,0.000541954
2,432,0.000351995
2,432,0.000377478
2,434,0.000390699
2,434,0.00035466
2,434,0.000365444
2,434,0.000410917
2,434,0.000365876
2,436,0.000366317
2,436,0.000422493
2,436,0.000383952
2,436,0.000385692
2,436,0.000403435
2,438,0.000380483
2,438,0.000372508
2,438,0.000445738
2,438,0.000384406
2,438,0.000364073
2,440,0.000383377
2,440,0.000375506
2,440,0.000396502
2,440,0.000390031
2,440,0.000392804
2,442,0.000427449
2,442,0.000366656
2,442,0.000381343
2,442,0.000364531
2,442,0.000367746
2,444,0.000598951
2,444,0.000395555
2,444,0.000370905
2,444,0.000384418
2,444,0.000369678
2,446,0.000384232
